LICENSE NUMBER,LICENSE TYPE,ESTABLISHMENT,STREET ADDRESS,CITY/TOWN,PROVINCE,POSTAL CODE,Location
005685,Club,Creignish Recreation Centre,2123 Highway 19  ,Creignish,NS,,"Creignish, NS
"
006319,Club,Englishtown Community Hall,  ,Englishtown,NS,,"Englishtown, NS
"
001236,Eating Establishment,Blarney Stone Restaurant,16339 Hwy #103  ,Hebbs Cross,NS,,"Hebbs Cross, NS
"
005574,Special Premises,Eagle Crest Golf Course,2075 Lakewood RD,Centreville,NS,,"Centreville, NS
"
005708,Special Premises,Republic Airline Inc,8909 Purdue RD,Indpls,IN,46268,"Indpls, IN 46268
"
005396,Eating Establishment,Morris East,5212 Morris ST,Halifax,NS,B3J 14,"Halifax, NS B3J 14
(44.646244, -63.573566)"
001913,Eating Establishment,Marco's Grill & Pasta House,624 Main ST,Yarmouth,NS,B5A 4A9,"Yarmouth, NS B5A 4A9
(43.891389, -66.12908)"
001842,Club,Ken Wo Country Club,9514 Commercial ST,New Minas,NS,B4N 3E9,"New Minas, NS B4N 3E9
(45.07321, -64.435412)"
005325,Eating Establishment,Yan's Restaurant,752 Sackville Drive ,Lower Sackville,NS,B4E 1R7,"Lower Sackville, NS B4E 1R7
(44.77285, -63.692215)"
005191,Eating Establishment,Tan's Family Restaurant,900 Cole Harbour RD,Dartmouth,NS,B2V 2J4,"Dartmouth, NS B2V 2J4
(44.728992, -63.654891)"
003715,Eating Establishment,Mount Uniacke Pub & Eatery,"125 #1, Highway  ",Mount Uniacke,NS,B0N  1Z0,"Mount Uniacke, NS B0N 1Z0
(44.911937, -63.818958)"
004812,Eating Establishment,Vines Pasta Grill,4 Panavista DR,Dartmouth,NS,B2W 3M7,"Dartmouth, NS B2W 3M7
(44.693133, -63.495978)"
005213,Eating Establishment,Mumford Pizza,7037 Mumford  RD,Halifax,NS,B3L 2J1,"Halifax, NS B3L 2J1
(44.64904, -63.622334)"
001017,Club,"RCL Br. 102, New Germany",44 Varner RD,New Germany,NS,B0R 1E0,"New Germany, NS B0R 1E0
(44.528126, -64.700999)"
003224,Club,South Bar Volunteer Fire Department,2148 Highway 28 ,South Bar,NS,B1N 3H7,"South Bar, NS B1N 3H7
(46.196794, -60.201144)"
003785,Eating Establishment,Ceilidh Country Lodge,369 Shore RD,Baddeck,NS,B0E 1B0,"Baddeck, NS B0E 1B0
(46.135073, -60.88087)"
001446,Club,G.B. Centennial Citizens Band Radio Club,50 West AV,Glace Bay,NS,B1A 5P3,"Glace Bay, NS B1A 5P3
(46.211173, -59.961579)"
002327,Eating Establishment,Le Gabriel Restaurant,15424 Cabot Trail ,Cheticamp,NS,B0E 1H0,"Cheticamp, NS B0E 1H0
(46.619593, -61.002042)"
001084,Club,Pubnico Area Lions Club,2562 HWY #3 ,Pubnico Head,NS,B0W 3S0,"Pubnico Head, NS B0W 3S0
(43.672782, -65.798129)"
000828,Eating Establishment,Clansman Dining Room,9 Baird ST,North Sydney,NS,B2A 2M3,"North Sydney, NS B2A 2M3
(46.20848, -60.260963)"
000992,Club,"RCL Br. 24, Bridgewater",78 Churchill ST,Bridgewater,NS,B4V 1R7,"Bridgewater, NS B4V 1R7
(44.377023, -64.527271)"
000823,Eating Establishment,China Town Dining Room,367 Bedford Highway  ,Halifax,NS,B3M 2L3,"Halifax, NS B3M 2L3
(44.683287, -63.66099)"
